Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
68,0.393376,0.355885,0.297559,0.191183,0.193562,0.162896,0.175581,0.291068,0.643396
69,0.529894,0.319348,0.162628,0.116246,0.136238,0.183793,0.355929,0.294549,0.558106
70,0.543287,0.282170,0.145808,0.078528,0.134139,0.161590,0.361951,0.358179,0.542575
71,0.480118,0.146380,0.131519,0.129486,0.076354,0.156736,0.203699,0.289842,0.747059
72,0.494209,0.213086,0.215669,0.184262,0.118246,0.170660,0.188161,0.443676,0.595421
73,0.478507,0.289884,0.245776,0.183851,0.144893,0.173278,0.240551,0.511998,0.470920
74,0.483452,0.359307,0.325416,0.187330,0.174446,0.149822,0.241088,0.422610,0.454515
75,0.443623,0.324321,0.287361,0.148086,0.145075,0.154713,0.120478,0.377092,0.625949
76,0.430613,0.255247,0.292066,0.174145,0.149143,0.298910,0.262480,0.371018,0.561828
77,0.456386,0.300308,0.282447,0.163614,0.170922,0.340044,0.406775,0.383515,0.370926
78,0.425111,0.160817,0.114268,0.118061,0.122687,0.138495,0.153566,0.308713,0.783137
79,0.361452,0.193511,0.235448,0.183208,0.147985,0.187730,0.168772,0.393458,0.708851
80,0.392326,0.217786,0.213946,0.177977,0.113524,0.158477,0.265740,0.494275,0.606855
81,0.516027,0.331107,0.261266,0.211812,0.195034,0.254410,0.331608,0.416500,0.353216
82,0.475313,0.314144,0.303034,0.176418,0.228288,0.279825,0.182838,0.444051,0.437503
83,0.495954,0.261634,0.225910,0.159319,0.131976,0.276485,0.221552,0.414527,0.542568
84,0.535373,0.341520,0.203553,0.145516,0.122170,0.281388,0.276976,0.386867,0.462216
85,0.405249,0.220674,0.209719,0.217802,0.162350,0.111852,0.122518,0.346888,0.722113
86,0.454780,0.241902,0.218104,0.254631,0.166154,0.186504,0.174042,0.400521,0.607581
87,0.511857,0.333629,0.158180,0.107488,0.073687,0.185962,0.231216,0.485021,0.511275
88,0.442199,0.421167,0.186877,0.265620,0.102303,0.253116,0.296503,0.504535,0.323415
89,0.410136,0.285328,0.219818,0.264845,0.202477,0.257464,0.242506,0.459994,0.504208
90,0.608330,0.246928,0.124184,0.094940,0.129620,0.218978,0.226963,0.381675,0.531587
91,0.525593,0.214423,0.114912,0.076028,0.054472,0.168343,0.253432,0.395793,0.637654
92,0.469305,0.225093,0.295388,0.233407,0.178699,0.124672,0.130729,0.345017,0.635414
93,0.515840,0.240163,0.253123,0.270859,0.154090,0.141367,0.302456,0.441145,0.457142
94,0.538095,0.332716,0.137737,0.135018,0.077393,0.158127,0.314974,0.477270,0.452287
95,0.544316,0.376252,0.171368,0.204444,0.076952,0.161347,0.188500,0.450122,0.469994
96,0.546223,0.326375,0.184882,0.270292,0.151510,0.164804,0.254877,0.365367,0.489193
97,0.505729,0.315154,0.210696,0.156097,0.143547,0.272434,0.368422,0.470560,0.352378
98,0.457714,0.178256,0.180067,0.120080,0.082452,0.233010,0.333933,0.451234,0.579366
99,0.392450,0.166667,0.205894,0.110567,0.248022,0.183589,0.247698,0.311867,0.713970
100,0.442760,0.246173,0.270899,0.287565,0.254059,0.270578,0.419464,0.323575,0.410943
101,0.414921,0.303599,0.140449,0.325120,0.164403,0.216771,0.310753,0.491618,0.444933
102,0.562886,0.256770,0.101129,0.240028,0.151325,0.173070,0.170619,0.427398,0.533625
103,0.642010,0.276400,0.146518,0.307799,0.265909,0.163280,0.227593,0.249403,0.428777
104,0.401071,0.352405,0.287931,0.273017,0.226138,0.271853,0.332783,0.430592,0.369208
105,0.493672,0.289688,0.267464,0.157525,0.240458,0.305232,0.292563,0.378366,0.443032
