Index,LectureNote_03,Compare1,Compare2,Difference_1,Difference_2
48,0.183781892,0.201374933,0.325431049,0.017593041,0.141649157
49,0.951413810,0.747057199,0.627594471,0.204356611,0.323819339
50,0.100716375,0.111684904,0.339372516,0.010968529,0.238656133
51,0.082917750,0.180966958,0.205546677,0.098049209,0.122628927
52,0.081214726,0.192275330,0.217063308,0.111060604,0.135848582
53,0.043807816,0.489108950,0.190617800,0.445301145,0.146809980
54,0.405654371,0.348148257,0.328730911,0.057506114,0.076923460
55,0.082752302,0.097559795,0.211164743,0.014807492,0.128412440
56,0.145535186,0.047320813,0.155313641,0.098214373,0.009778455
57,0.174642295,0.123455778,0.274152398,0.051186517,0.099510103
58,0.843259156,0.459039241,0.421796143,0.384219915,0.421463013
59,0.061889347,0.065235943,0.399048209,0.003346596,0.337158859
60,0.110944495,0.146087676,0.336103916,0.035143182,0.225159422
61,0.080389239,0.109142631,0.308938682,0.028753392,0.228549451
62,0.207915276,0.776896298,0.450003505,0.568981051,0.242088228
63,0.621393681,0.294230103,0.286492020,0.327163577,0.334901661
64,0.031811833,0.115084060,0.329160452,0.083272226,0.297348619
65,0.053177208,0.093641870,0.279773474,0.040464662,0.226596266
66,0.165056154,0.161077291,0.320102513,0.003978863,0.155046359
67,0.192476258,0.788089216,0.348465472,0.595612943,0.155989215
68,0.284003794,0.263457119,0.228189558,0.020546675,0.055814236
69,0.322133809,0.138364434,0.378142327,0.183769375,0.056008518
70,0.178557202,0.119500615,0.405791461,0.059056588,0.227234259
71,0.573958755,0.376231492,0.384291530,0.197727263,0.189667225
72,0.078629263,0.332463324,0.156343222,0.253834069,0.077713959
73,0.112738892,0.214526325,0.245224983,0.101787433,0.132486090
74,0.104444869,0.111819230,0.243811011,0.007374361,0.139366150
75,0.295467407,0.248708323,0.429000378,0.046759084,0.133532971
76,0.116399094,0.459669203,0.502793550,0.343270123,0.386394441
77,0.783800364,0.485719889,0.483219624,0.298080474,0.300580740
78,0.417306751,0.267129123,0.296509445,0.150177628,0.120797306
79,0.213440970,0.233951524,0.249685928,0.020510554,0.036244959
80,0.187893271,0.442466229,0.188076854,0.254572958,0.000183582
81,0.046265364,0.513009191,0.134292990,0.466743827,0.088027626
82,0.173048183,0.372830003,0.204464301,0.199781820,0.031416118
83,0.125974000,0.304140389,0.181172192,0.178166389,0.055198193
84,0.192267522,0.189497188,0.375803679,0.002770334,0.183536157
85,0.226421177,0.303896159,0.532755613,0.077474982,0.306334436
86,0.843476653,0.368963569,0.539355993,0.474513084,0.304120660
87,0.344286084,0.177326813,0.260569245,0.166959271,0.083716840
88,0.149218172,0.167685375,0.334268421,0.018467203,0.185050249
89,0.107513778,0.425862134,0.108364776,0.318348348,0.000850998
