Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.451363623,0.120313272,0.050433580,0.246116176,0.604061306,0.466872424,0.220712200,0.123338103,0.268128067
2,0.404937953,0.124903351,0.097407147,0.296745837,0.608552039,0.540986717,0.198563412,0.117365643,0.081693657
3,0.308253914,0.126800343,0.136938259,0.250695914,0.726950288,0.470123410,0.173978642,0.132977873,0.099379539
4,0.410066158,0.246025324,0.119474187,0.288840950,0.683723569,0.206132680,0.221967250,0.262271136,0.213517934
5,0.258501440,0.218780175,0.149097860,0.270852506,0.764880896,0.159228101,0.211200327,0.279563606,0.237830177
6,0.224700704,0.142669499,0.095335498,0.201374933,0.747057199,0.111684904,0.180966958,0.192275330,0.489108950
7,0.348148257,0.097559795,0.047320813,0.123455778,0.459039241,0.065235943,0.146087676,0.109142631,0.776896298
8,0.294230103,0.115084060,0.093641870,0.161077291,0.788089216,0.263457119,0.138364434,0.119500615,0.376231492
9,0.332463324,0.214526325,0.111819230,0.248708323,0.459669203,0.485719889,0.267129123,0.233951524,0.442466229
10,0.513009191,0.372830003,0.304140389,0.189497188,0.303896159,0.368963569,0.177326813,0.167685375,0.425862134
11,0.582862496,0.394930214,0.295138717,0.162941381,0.226583898,0.111060508,0.177190393,0.306114227,0.449296892
12,0.556126177,0.282906443,0.107056543,0.128135830,0.261000246,0.121906452,0.195096552,0.369148344,0.570519269
13,0.475202590,0.155361250,0.127619877,0.135587111,0.235488489,0.101610050,0.262214601,0.206381485,0.733652115
14,0.520046651,0.176139399,0.079401575,0.117153041,0.144788057,0.169588521,0.382553786,0.138064399,0.680708408
15,0.408155441,0.198438138,0.164951622,0.205144644,0.591398656,0.187568560,0.185347155,0.291224986,0.469721258
16,0.335505486,0.238990948,0.180531695,0.251360446,0.275307447,0.244967446,0.331784606,0.305598736,0.628705621
17,0.370103955,0.359956950,0.490022868,0.173489437,0.108965792,0.161850497,0.250613481,0.229643270,0.556435883
18,0.399109215,0.306676120,0.580904722,0.247092605,0.101860948,0.096184902,0.209620923,0.242841825,0.474990904
19,0.571457386,0.229932070,0.114538185,0.156087965,0.108266920,0.094860248,0.268453717,0.270537883,0.645838141
20,0.541069031,0.282182723,0.158610120,0.160168007,0.107317440,0.116971225,0.357600421,0.197555035,0.620242715
21,0.480418384,0.289905936,0.316615313,0.241664633,0.242648810,0.262309402,0.383096695,0.234265670,0.444046795
22,0.582348645,0.243481845,0.189937353,0.181042835,0.190629810,0.196739942,0.246556357,0.407649487,0.480332613
23,0.362970024,0.210862115,0.308861822,0.279017299,0.232042834,0.254046589,0.329233527,0.328224957,0.562168896
24,0.710878491,0.228449509,0.358992636,0.229537308,0.098488845,0.101374686,0.132892340,0.189203814,0.432971328
25,0.798240364,0.205554366,0.382911980,0.231103331,0.109095052,0.108949199,0.107129678,0.135569304,0.258654058
26,0.660071850,0.318794161,0.197628245,0.196524397,0.141711995,0.117211565,0.245813921,0.346082956,0.413494796
27,0.757656157,0.239116326,0.093926780,0.129139528,0.092862010,0.102189109,0.159503534,0.246777356,0.487724215
28,0.777272284,0.188832641,0.270039827,0.157940686,0.194715723,0.220975310,0.054791354,0.231293216,0.345080286
29,0.502783418,0.154131055,0.115584463,0.377831697,0.589259267,0.201051027,0.180489361,0.160388321,0.348406523
30,0.197027877,0.068871312,0.141254321,0.420340925,0.744859993,0.257161438,0.104428783,0.172483265,0.313358009
31,0.883482695,0.095573165,0.020075746,0.067258798,0.149387240,0.075784951,0.083440445,0.143432245,0.387043029
32,0.940692365,0.112320736,0.043512881,0.021040827,0.027281806,0.053215858,0.046475552,0.164229333,0.259688944
33,0.559999585,0.309568495,0.148676440,0.063372694,0.075247139,0.214286268,0.148007482,0.490330249,0.500535965
34,0.754758000,0.295054913,0.153190210,0.149870709,0.081401780,0.137419075,0.075139888,0.238044366,0.457747936
35,0.876343191,0.244540676,0.137390018,0.099521577,0.127421528,0.157042488,0.043647282,0.112785138,0.296509057
36,0.506215990,0.121915638,0.100023180,0.363245249,0.625427425,0.175314009,0.117459677,0.192836568,0.337717354
37,0.223303571,0.061755005,0.080575578,0.365518719,0.801417291,0.305996358,0.073645361,0.210204765,0.143917635
38,0.679775059,0.068846405,0.094124667,0.200648680,0.408956200,0.234686092,0.183560431,0.312284827,0.361258596
39,0.772715867,0.058777068,0.080432825,0.228065372,0.285388410,0.099722020,0.258127928,0.268766165,0.332739919
40,0.182478368,0.127533421,0.048341896,0.076488584,0.199600160,0.199651465,0.279098392,0.430944860,0.773911536
41,0.353091717,0.247249454,0.142638713,0.159715071,0.081397228,0.168263286,0.156398848,0.240090430,0.807029843
42,0.828761220,0.307626128,0.183038056,0.192767262,0.109777205,0.137997255,0.056308556,0.081263393,0.327093661
43,0.608075559,0.222395137,0.241838753,0.285125077,0.437350303,0.143170506,0.086763792,0.288423032,0.372173846
44,0.286941856,0.079732679,0.158389866,0.286829054,0.691322029,0.383295208,0.104212880,0.271851093,0.307154834
45,0.386417538,0.091624655,0.122727998,0.285346776,0.483727574,0.363853365,0.194446236,0.371703029,0.451051384
46,0.569374144,0.107699379,0.148731992,0.447219580,0.463640362,0.150837466,0.331717730,0.192989752,0.238938093
47,0.337558985,0.188154578,0.107506029,0.180641055,0.268653542,0.096610688,0.255113572,0.353887171,0.731187820
48,0.335924983,0.146588221,0.144881591,0.079049543,0.159118250,0.109228976,0.161034554,0.328997672,0.816704094
49,0.715774000,0.104641862,0.127796486,0.101076350,0.183311030,0.142663196,0.081813999,0.280467868,0.557546318
50,0.447605491,0.315467238,0.327590972,0.319711953,0.404510438,0.301137626,0.183408156,0.335798889,0.299810231
51,0.240597948,0.101896480,0.173422426,0.203633010,0.381769478,0.223359093,0.156626344,0.211099133,0.771658003
52,0.318443358,0.051210549,0.043647110,0.094807044,0.180688828,0.166690558,0.154146641,0.189856112,0.874549747
53,0.672886372,0.294561625,0.206888452,0.383839905,0.190185249,0.190864697,0.250178993,0.190115690,0.314624161
54,0.760306120,0.392556190,0.151773125,0.200042859,0.138553947,0.094308496,0.092994206,0.230699942,0.338851780
55,0.723362684,0.358564615,0.203184709,0.171298996,0.228374749,0.218520105,0.135081038,0.260946095,0.302166551
56,0.294844478,0.076883264,0.106815271,0.129308835,0.203855217,0.231709465,0.173338652,0.609191656,0.618561566
57,0.481852710,0.269244581,0.171471357,0.225524440,0.512857556,0.346023232,0.142995134,0.241530880,0.391818732
58,0.254509896,0.150010049,0.084106378,0.126358181,0.272862047,0.206463844,0.159425974,0.301773340,0.810010314
59,0.238344654,0.051552426,0.058873717,0.067027606,0.082770750,0.075770289,0.149660677,0.296755791,0.899733841
60,0.377729177,0.249415785,0.301979780,0.227039769,0.188378513,0.346308172,0.516893268,0.320455134,0.356493473
61,0.634720802,0.275552154,0.054956265,0.119240537,0.137099549,0.219093576,0.211120337,0.352526754,0.517993093
