Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
68,0.433594,0.264124,0.124941,0.065828,0.129194,0.157203,0.248857,0.633052,0.467121
69,0.429071,0.285160,0.153823,0.112763,0.174918,0.179861,0.228581,0.586470,0.488940
70,0.599722,0.173811,0.116209,0.131240,0.130638,0.126300,0.119066,0.086170,0.724413
71,0.462258,0.036098,0.085252,0.166609,0.418499,0.285616,0.172197,0.164595,0.660702
72,0.272825,0.266819,0.211721,0.200560,0.526046,0.470580,0.404767,0.196704,0.261963
73,0.438611,0.614949,0.246412,0.146961,0.323300,0.304902,0.250792,0.113108,0.271962
74,0.518402,0.574952,0.177746,0.177102,0.181411,0.159813,0.234637,0.386495,0.273585
75,0.623341,0.233439,0.115645,0.114194,0.063243,0.120360,0.220597,0.421858,0.534252
76,0.654031,0.193180,0.155900,0.070293,0.081028,0.060269,0.133421,0.248987,0.644737
77,0.602104,0.127985,0.101874,0.069707,0.084340,0.059089,0.061953,0.080940,0.764761
78,0.345617,0.116245,0.052275,0.179697,0.332758,0.601829,0.328637,0.208994,0.455418
79,0.447552,0.458820,0.196636,0.268365,0.280990,0.422414,0.258643,0.229343,0.318768
80,0.480441,0.545639,0.321958,0.165238,0.285194,0.233985,0.186934,0.184900,0.367800
81,0.494675,0.453823,0.305273,0.233650,0.229070,0.342023,0.232587,0.221465,0.359112
82,0.588160,0.230774,0.167407,0.156101,0.077520,0.280650,0.349466,0.290271,0.507209
83,0.420927,0.094256,0.132097,0.058044,0.297512,0.556004,0.331931,0.259442,0.466878
84,0.438392,0.045869,0.038271,0.040158,0.364542,0.561475,0.096943,0.057837,0.584588
85,0.256892,0.128079,0.099578,0.417688,0.500257,0.528602,0.260560,0.262358,0.258502
86,0.268176,0.358155,0.212992,0.402858,0.491067,0.466959,0.282532,0.177005,0.147631
87,0.284542,0.424565,0.340276,0.253848,0.399539,0.465043,0.353816,0.143435,0.192088
88,0.285720,0.262286,0.309598,0.239454,0.559753,0.461779,0.263957,0.140325,0.283644
89,0.236034,0.149233,0.145819,0.196548,0.601133,0.344505,0.446270,0.315160,0.289130
90,0.058327,0.064014,0.059573,0.078646,0.523613,0.690539,0.376628,0.268530,0.133400
91,0.430875,0.054802,0.033514,0.067822,0.405200,0.665232,0.154428,0.106305,0.404662
92,0.399824,0.100113,0.098835,0.382038,0.307691,0.261225,0.235319,0.554458,0.385598
