Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
1,0.451364,0.120313,0.050434,0.246116,0.604061,0.466872,0.220712,0.123338,0.268128
2,0.404938,0.124903,0.097407,0.296746,0.608552,0.540987,0.198563,0.117366,0.081694
3,0.308254,0.126800,0.136938,0.250696,0.726950,0.470123,0.173979,0.132978,0.099380
4,0.410066,0.246025,0.119474,0.288841,0.683724,0.206133,0.221967,0.262271,0.213518
5,0.258501,0.218780,0.149098,0.270853,0.764881,0.159228,0.211200,0.279564,0.237830
6,0.224701,0.142669,0.095335,0.201375,0.747057,0.111685,0.180967,0.192275,0.489109
7,0.348148,0.097560,0.047321,0.123456,0.459039,0.065236,0.146088,0.109143,0.776896
8,0.294230,0.115084,0.093642,0.161077,0.788089,0.263457,0.138364,0.119501,0.376231
9,0.332463,0.214526,0.111819,0.248708,0.459669,0.485720,0.267129,0.233952,0.442466
10,0.513009,0.372830,0.304140,0.189497,0.303896,0.368964,0.177327,0.167685,0.425862
11,0.582862,0.394930,0.295139,0.162941,0.226584,0.111061,0.177190,0.306114,0.449297
12,0.556126,0.282906,0.107057,0.128136,0.261000,0.121906,0.195097,0.369148,0.570519
13,0.475203,0.155361,0.127620,0.135587,0.235489,0.101610,0.262215,0.206381,0.733652
14,0.520047,0.176139,0.079402,0.117153,0.144788,0.169589,0.382554,0.138064,0.680708
15,0.408155,0.198438,0.164952,0.205145,0.591399,0.187569,0.185347,0.291225,0.469721
16,0.335505,0.238991,0.180532,0.251360,0.275307,0.244967,0.331785,0.305599,0.628706
17,0.370104,0.359957,0.490023,0.173489,0.108966,0.161851,0.250613,0.229643,0.556436
18,0.399109,0.306676,0.580905,0.247093,0.101861,0.096185,0.209621,0.242842,0.474991
19,0.571457,0.229932,0.114538,0.156088,0.108267,0.094860,0.268454,0.270538,0.645838
20,0.541069,0.282183,0.158610,0.160168,0.107317,0.116971,0.357600,0.197555,0.620243
21,0.480418,0.289906,0.316615,0.241665,0.242649,0.262309,0.383097,0.234266,0.444047
22,0.582349,0.243482,0.189937,0.181043,0.190630,0.196740,0.246556,0.407649,0.480333
23,0.362970,0.210862,0.308862,0.279017,0.232043,0.254047,0.329234,0.328225,0.562169
24,0.710878,0.228450,0.358993,0.229537,0.098489,0.101375,0.132892,0.189204,0.432971
25,0.798240,0.205554,0.382912,0.231103,0.109095,0.108949,0.107130,0.135569,0.258654
26,0.660072,0.318794,0.197628,0.196524,0.141712,0.117212,0.245814,0.346083,0.413495
27,0.757656,0.239116,0.093927,0.129140,0.092862,0.102189,0.159504,0.246777,0.487724
28,0.777272,0.188833,0.270040,0.157941,0.194716,0.220975,0.054791,0.231293,0.345080
29,0.502783,0.154131,0.115584,0.377832,0.589259,0.201051,0.180489,0.160388,0.348407
30,0.197028,0.068871,0.141254,0.420341,0.744860,0.257161,0.104429,0.172483,0.313358
31,0.883483,0.095573,0.020076,0.067259,0.149387,0.075785,0.083440,0.143432,0.387043
32,0.940692,0.112321,0.043513,0.021041,0.027282,0.053216,0.046476,0.164229,0.259689
33,0.560000,0.309568,0.148676,0.063373,0.075247,0.214286,0.148007,0.490330,0.500536
34,0.754758,0.295055,0.153190,0.149871,0.081402,0.137419,0.075140,0.238044,0.457748
35,0.876343,0.244541,0.137390,0.099522,0.127422,0.157042,0.043647,0.112785,0.296509
36,0.506216,0.121916,0.100023,0.363245,0.625427,0.175314,0.117460,0.192837,0.337717
37,0.223304,0.061755,0.080576,0.365519,0.801417,0.305996,0.073645,0.210205,0.143918
38,0.679775,0.068846,0.094125,0.200649,0.408956,0.234686,0.183560,0.312285,0.361259
39,0.772716,0.058777,0.080433,0.228065,0.285388,0.099722,0.258128,0.268766,0.332740
40,0.182478,0.127533,0.048342,0.076489,0.199600,0.199651,0.279098,0.430945,0.773912
41,0.353092,0.247249,0.142639,0.159715,0.081397,0.168263,0.156399,0.240090,0.807030
