Degree,LectureNote_03,Compare1,Compare2
0-20,0.432766765,0.547888815,0.423346341
20-40,0.216963336,0.199161962,0.255835682
40-60,0.2008228,0.151834577,0.212919503
60-80,0.210699365,0.187086627,0.228332937
80-100,0.406742036,0.346678585,0.325469643
100-120,0.373607367,0.179852203,0.260697365
120-140,0.271531045,0.175088003,0.286263406
140-160,0.319391876,0.2391271,0.3738406
160-180,0.447385818,0.60143739,0.512111485
