Block,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180
51,0.138040394,0.017940560,0.034639973,0.070777833,0.072440661,0.067817591,0.166173711,0.710294604,0.657597482
52,0.157984242,0.007635143,0.024397539,0.046734065,0.074858367,0.099738643,0.107871681,0.742077053,0.627962589
53,0.181718275,0.064395174,0.031412195,0.050832517,0.069318898,0.218488485,0.188264146,0.803412437,0.475188166
54,0.188456059,0.125896290,0.061606955,0.057356413,0.080445252,0.164780334,0.301922947,0.757165253,0.493425429
55,0.235519737,0.181017607,0.143081233,0.176932365,0.183889121,0.153993860,0.292050391,0.650116742,0.542689085
56,0.828558803,0.073580228,0.079181410,0.137186855,0.146224231,0.150948688,0.068828337,0.092501163,0.474895269
57,0.666317046,0.010312957,0.010886738,0.008570358,0.556752801,0.119379282,0.006571145,0.014568568,0.480877131
58,0.039250322,0.064643934,0.066011794,0.090155877,0.408434182,0.179393262,0.104386084,0.838599563,0.262009442
59,0.278535455,0.042296153,0.041419849,0.077939607,0.103852220,0.119876012,0.075988181,0.682396829,0.645169556
60,0.367276669,0.128707618,0.056038592,0.049874961,0.078810617,0.135310844,0.137895674,0.533626914,0.717371106
61,0.282543927,0.215875313,0.115287833,0.041798044,0.110310033,0.150950983,0.268256843,0.656675756,0.566029251
62,0.317423671,0.219145596,0.161056742,0.125149816,0.217953503,0.240441322,0.284920901,0.596388280,0.517146945
63,0.632053614,0.107398726,0.109085955,0.124176763,0.152164459,0.208499178,0.094844356,0.082402334,0.692273438
64,0.166315287,0.009801176,0.045438562,0.058179259,0.699400663,0.206794634,0.018344210,0.055855844,0.656819642
65,0.098550431,0.184234723,0.185184047,0.158304378,0.777786016,0.461402863,0.237561360,0.119216532,0.092197143
66,0.479787767,0.475665897,0.176334321,0.147928119,0.235941812,0.320124328,0.197010100,0.111198120,0.530323446
67,0.530709088,0.430467337,0.127053723,0.095266826,0.117876716,0.169277370,0.181449965,0.348172784,0.557789624
