Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
1,0.158233,0.148636,0.032775,0.074640,0.088947,0.232529,0.240953,0.387915,0.257003,0.239191,0.019468,0.063517,0.118217,0.105830,0.071229,0.052590,0.199228,0.194220,0.181144,0.109784,0.031570,0.036031,0.082138,0.113095,0.253352,0.190078,0.147377,0.133178,0.114599,0.141257,0.102935,0.062370,0.055495,0.176384,0.270154,0.276380
2,0.147285,0.011988,0.039111,0.072794,0.065166,0.043860,0.032383,0.122677,0.119594,0.019802,0.035827,0.039641,0.104300,0.111544,0.110026,0.091148,0.053711,0.080049,0.082006,0.070566,0.086981,0.063384,0.038405,0.034172,0.108611,0.166351,0.170184,0.039691,0.020503,0.076902,0.369568,0.583789,0.495714,0.199069,0.103083,0.053292
3,0.018568,0.033594,0.037170,0.097800,0.104591,0.103169,0.085468,0.050364,0.075060,0.111868,0.151512,0.038682,0.035704,0.120578,0.030113,0.138689,0.036102,0.097731,0.037218,0.019225,0.072109,0.346535,0.547403,0.464818,0.186662,0.096658,0.049971,0.069474,0.092394,0.120891,0.132366,0.262645,0.199189,0.105894,0.108070,0.016301
4,0.139361,0.188747,0.048189,0.044478,0.150211,0.037513,0.172772,0.044975,0.121749,0.118860,0.066963,0.120777,0.060082,0.072320,0.100264,0.142618,0.058838,0.081549,0.086548,0.115100,0.150601,0.164896,0.327191,0.248141,0.131919,0.134628,0.020307,0.037792,0.096160,0.078809,0.356118,0.545838,0.053571,0.230259,0.072513,0.097331
5,0.126076,0.071029,0.128109,0.063730,0.076710,0.106352,0.151276,0.062410,0.086500,0.042171,0.009822,0.155335,0.146693,0.345757,0.222900,0.087899,0.000000,0.033828,0.040086,0.101998,0.083594,0.377739,0.578978,0.056823,0.244238,0.076916,0.103240,0.113002,0.162899,0.084194,0.072606,0.141734,0.044433,0.112971,0.119202,0.066689
6,0.050377,0.011733,0.185561,0.175238,0.413038,0.266273,0.105004,0.000000,0.040411,0.012517,0.064241,0.086114,0.144286,0.346368,0.180328,0.069483,0.078598,0.012044,0.134991,0.194597,0.100578,0.086734,0.169314,0.053079,0.134954,0.142397,0.079666,0.291305,0.189847,0.240521,0.174795,0.191842,0.106266,0.057561,0.166568,0.208224
7,0.009765,0.050113,0.067177,0.112556,0.270198,0.140671,0.054203,0.061314,0.009396,0.176600,0.054373,0.000000,0.162445,0.233053,0.406648,0.245419,0.136989,0.199971,0.227244,0.148097,0.187627,0.136356,0.149654,0.082897,0.044903,0.129938,0.162433,0.142535,0.104662,0.007953,0.052451,0.060684,0.044888,0.224092,0.194418,0.389510
8,0.174766,0.105918,0.030458,0.034763,0.079246,0.109113,0.244431,0.183386,0.142188,0.128489,0.110564,0.136283,0.099311,0.060174,0.053541,0.170173,0.260643,0.266649,0.147837,0.212268,0.082332,0.207364,0.185860,0.091100,0.144783,0.168740,0.209525,0.075792,0.176605,0.265454,0.247258,0.315579,0.165906,0.136049,0.133517,0.088384
9,0.071725,0.061719,0.076076,0.055437,0.033590,0.029888,0.094994,0.145495,0.148848,0.034715,0.017933,0.067260,0.323235,0.510598,0.433565,0.174112,0.090159,0.046611,0.042308,0.098584,0.148181,0.138024,0.176162,0.092612,0.075945,0.074532,0.049338,0.110028,0.227656,0.112034,0.193378,0.111865,0.243752,0.145727,0.103089,0.066505
10,0.032669,0.016876,0.063295,0.304179,0.480496,0.408005,0.163847,0.084844,0.043863,0.060983,0.081101,0.106115,0.116188,0.230543,0.174843,0.092951,0.094861,0.014309,0.103541,0.214235,0.105429,0.181977,0.105270,0.229382,0.137136,0.097012,0.062584,0.036176,0.043097,0.039994,0.050712,0.109490,0.125040,0.058872,0.304160,0.067556
11,0.062426,0.083020,0.108626,0.118937,0.235998,0.178980,0.095151,0.097106,0.014647,0.027259,0.069359,0.056844,0.256863,0.393705,0.038640,0.166082,0.052303,0.070203,0.037032,0.044117,0.040940,0.051912,0.112081,0.127999,0.060265,0.311358,0.069155,0.169639,0.096164,0.072087,0.097277,0.405040,0.399219,0.191933,0.187079,0.019570
12,0.028895,0.073521,0.060255,0.272277,0.417332,0.040959,0.176049,0.055442,0.074416,0.081453,0.117419,0.060688,0.052335,0.102163,0.032027,0.081430,0.085922,0.048070,0.179819,0.101935,0.076413,0.103115,0.429347,0.423177,0.203451,0.198306,0.020745,0.056717,0.041237,0.081976,0.140876,0.224402,0.221382,0.056694,0.073454,0.051891
13,0.115295,0.166203,0.085902,0.074079,0.144609,0.045334,0.115262,0.121620,0.068042,0.248800,0.162146,0.205426,0.149291,0.163851,0.090760,0.049163,0.142264,0.177842,0.080282,0.058371,0.116034,0.199407,0.317636,0.313361,0.080248,0.103972,0.073451,0.108797,0.168284,0.119751,0.185701,0.103304,0.112075,0.454908,0.107476,0.181590
14,0.203463,0.132599,0.167993,0.122087,0.133993,0.074222,0.040204,0.116341,0.145435,0.127619,0.093710,0.007121,0.046962,0.054334,0.040191,0.200641,0.174073,0.348749,0.088972,0.137619,0.097930,0.151862,0.084480,0.091653,0.372014,0.087891,0.148500,0.153037,0.225443,0.074088,0.086165,0.240901,0.089483,0.229821,0.307126,0.265503
15,0.118022,0.169459,0.065728,0.165545,0.148378,0.072728,0.115585,0.134710,0.167270,0.060507,0.140989,0.211920,0.197394,0.251936,0.132447,0.108612,0.106591,0.070560,0.076573,0.054946,0.033085,0.107771,0.309283,0.284531,0.354389,0.185209,0.075191,0.098706,0.185013,0.104682,0.277239,0.212560,0.196800,0.117252,0.120996,0.120117
16,0.053765,0.125280,0.188308,0.175401,0.223866,0.117690,0.096510,0.094715,0.062698,0.139823,0.289305,0.142373,0.245744,0.142158,0.309759,0.185189,0.131005,0.084514,0.087709,0.164399,0.093018,0.246350,0.188877,0.174873,0.104188,0.107515,0.106733,0.159180,0.251588,0.124705,0.118432,0.164170,0.134992,0.183792,0.122092,0.232686
17,0.127996,0.264834,0.130330,0.224957,0.130133,0.283557,0.169524,0.119924,0.077365,0.044720,0.053276,0.049439,0.062689,0.135350,0.154572,0.072776,0.375997,0.083511,0.145715,0.230307,0.114156,0.108414,0.150283,0.123574,0.168245,0.111765,0.213004,0.071852,0.084455,0.124679,0.131738,0.139750,0.146849,0.323889,0.244914,0.134593
18,0.035738,0.042575,0.039509,0.050097,0.108164,0.123526,0.058159,0.300477,0.066738,0.163711,0.092804,0.069568,0.093878,0.390885,0.385268,0.185225,0.180542,0.018886,0.057421,0.067492,0.099637,0.105278,0.111681,0.117354,0.258835,0.195722,0.107560,0.048039,0.027398,0.180909,0.226521,0.388217,0.153638,0.113270,0.061946,0.012091
19,0.170210,0.096488,0.072330,0.097605,0.406403,0.400563,0.192579,0.187709,0.019636,0.053686,0.039034,0.077595,0.133348,0.212411,0.209552,0.053664,0.069528,0.049118,0.049946,0.028486,0.188091,0.235514,0.403629,0.159738,0.117767,0.064405,0.012571,0.039357,0.069160,0.099320,0.076120,0.141852,0.182439,0.165689,0.051610,0.122478
20,0.069064,0.050214,0.099820,0.171543,0.273251,0.269574,0.069035,0.089443,0.063187,0.093595,0.144769,0.103018,0.159752,0.088869,0.096415,0.391342,0.092458,0.156216,0.050631,0.088970,0.127768,0.097923,0.182483,0.234695,0.213148,0.066392,0.157560,0.021874,0.037330,0.349209,0.214283,0.247994,0.192156,0.197711,0.038929,0.108959
21,0.078577,0.121540,0.086487,0.134119,0.074609,0.080944,0.328547,0.077622,0.131149,0.135156,0.199102,0.065432,0.076097,0.212754,0.079028,0.202969,0.271241,0.234481,0.018364,0.031340,0.293175,0.179899,0.208201,0.161323,0.165987,0.032683,0.091476,0.326990,0.102911,0.057704,0.137941,0.096229,0.083234,0.038126,0.249487,0.274423
22,0.040547,0.029095,0.017520,0.057068,0.163774,0.150667,0.187659,0.098073,0.039816,0.052268,0.097970,0.055432,0.146806,0.112557,0.104211,0.062088,0.064071,0.063605,0.081257,0.060561,0.204473,0.419725,0.510016,0.192849,0.124112,0.033427,0.045555,0.242794,0.091798,0.144386,0.052354,0.092004,0.248473,0.246815,0.082702,0.228991
23,0.066202,0.124088,0.070210,0.185944,0.142564,0.131994,0.078641,0.081152,0.080562,0.120149,0.189898,0.094127,0.089392,0.123915,0.101892,0.138726,0.092155,0.175631,0.307522,0.116272,0.182880,0.066312,0.116533,0.314715,0.312616,0.104750,0.290039,0.083283,0.171764,0.080103,0.119173,0.075176,0.124168,0.131441,0.301778,0.306894
24,0.109919,0.173730,0.086113,0.081781,0.113365,0.093217,0.126914,0.084309,0.160678,0.054201,0.063708,0.094051,0.099376,0.105419,0.110774,0.244323,0.184749,0.101530,0.076192,0.157140,0.073283,0.109027,0.068775,0.113596,0.120250,0.276085,0.280765,0.073256,0.066079,0.091645,0.131657,0.380814,0.519813,0.143745,0.112167,0.031410
25,0.048640,0.057171,0.084401,0.089179,0.094603,0.099409,0.219255,0.165793,0.091112,0.040693,0.023209,0.153245,0.191883,0.328852,0.130145,0.095949,0.052473,0.010242,0.065740,0.059299,0.082242,0.118149,0.341742,0.466479,0.128996,0.100658,0.028187,0.057634,0.112642,0.069335,0.142865,0.464129,0.132139,0.067013,0.086382,0.019432
26,0.040014,0.022821,0.150687,0.188680,0.323363,0.127972,0.094348,0.051597,0.010071,0.031531,0.055407,0.079569,0.060983,0.113643,0.146159,0.132740,0.041346,0.098122,0.056672,0.110762,0.068177,0.140481,0.456381,0.129934,0.065895,0.084940,0.019108,0.002683,0.047189,0.090554,0.228928,0.586469,0.148222,0.152029,0.027678,0.005379
27,0.035256,0.061953,0.088970,0.068188,0.127071,0.163428,0.148424,0.046232,0.109715,0.015232,0.025995,0.243169,0.149214,0.172689,0.133806,0.137675,0.027108,0.075873,0.003001,0.052764,0.101253,0.255976,0.655761,0.165734,0.169991,0.030948,0.006014,0.025194,0.051089,0.015770,0.017335,0.409095,0.044877,0.052820,0.007284,0.076545
28,0.017821,0.030413,0.284504,0.174578,0.202044,0.156551,0.161077,0.031716,0.088770,0.317319,0.099867,0.055997,0.133862,0.093383,0.080773,0.036998,0.242108,0.266306,0.029477,0.059773,0.018451,0.020282,0.478636,0.052506,0.061799,0.008522,0.089557,0.185789,0.269938,0.087462,0.031872,0.203214,0.127358,0.133147,0.102530,0.241964
29,0.067993,0.050676,0.171097,0.351213,0.426765,0.161370,0.103853,0.027971,0.038119,0.203162,0.076814,0.120818,0.043808,0.076986,0.207914,0.206527,0.069202,0.191612,0.199488,0.085677,0.035906,0.126426,0.271805,0.159679,0.117396,0.074693,0.319930,0.062130,0.030038,0.146220,0.140854,0.152414,0.183924,0.167186,0.070694,0.022382
30,0.260395,0.098453,0.154854,0.056150,0.098674,0.266486,0.264708,0.088697,0.245592,0.070520,0.145442,0.067828,0.100910,0.063655,0.105140,0.111298,0.255532,0.259864,0.079632,0.038500,0.187413,0.180534,0.195351,0.235737,0.214284,0.090609,0.028687,0.102751,0.045069,0.087002,0.120368,0.259402,0.163503,0.338589,0.065882,0.057079
31,0.069857,0.144075,0.067190,0.099962,0.063057,0.104152,0.110252,0.253130,0.257421,0.067165,0.060585,0.084025,0.120711,0.349152,0.476594,0.131793,0.102841,0.028799,0.101785,0.044646,0.086184,0.119237,0.256964,0.161966,0.335407,0.065263,0.056543,0.124470,0.057214,0.156806,0.157262,0.091593,0.105262,0.228101,0.081348,0.049798
32,0.049259,0.044433,0.061624,0.088529,0.256067,0.349533,0.096657,0.075423,0.021121,0.043185,0.084403,0.051952,0.107049,0.347772,0.099012,0.050213,0.064726,0.014560,0.091286,0.041961,0.115001,0.115335,0.067174,0.077199,0.167289,0.059660,0.036522,0.012850,0.008780,0.008607,0.167948,0.668073,0.254445,0.011760,0.004802,0.014330
33,0.038382,0.075015,0.046174,0.095142,0.309090,0.087999,0.044628,0.057527,0.012941,0.001817,0.031959,0.061329,0.155044,0.397193,0.100385,0.102964,0.018745,0.003643,0.011421,0.007803,0.007650,0.149267,0.593765,0.226144,0.010452,0.004268,0.012736,0.029605,0.012451,0.042872,0.160264,0.456814,0.030847,0.015601,0.017674,0.008851
34,0.002079,0.036558,0.070154,0.177355,0.454349,0.114830,0.117780,0.021442,0.004167,0.017456,0.035397,0.010927,0.012011,0.283445,0.031094,0.036597,0.005047,0.053035,0.033865,0.014243,0.049041,0.183327,0.522550,0.035285,0.017846,0.020217,0.010125,0.024196,0.008192,0.018090,0.041310,0.563630,0.077104,0.023749,0.040201,0.004649
35,0.019192,0.038918,0.012013,0.013205,0.311636,0.034186,0.040237,0.005549,0.058310,0.120966,0.175755,0.056946,0.020752,0.132311,0.082922,0.086691,0.066756,0.157541,0.026603,0.009006,0.019889,0.045419,0.619688,0.084773,0.026111,0.044199,0.005111,0.038470,0.027219,0.109989,0.059662,0.383500,0.123467,0.072516,0.070699,0.443322
36,0.207187,0.088984,0.037291,0.131305,0.282294,0.165842,0.121927,0.077575,0.332277,0.064528,0.031198,0.151864,0.146290,0.158297,0.191022,0.173638,0.073422,0.023246,0.408015,0.004838,0.013177,0.017617,0.018198,0.015232,0.012910,0.013257,0.138436,0.398543,0.073454,0.085603,0.023428,0.003059,0.001977,0.024887,0.097038,0.419044
