Block,Cell1_0-20,Cell1_20-40,Cell1_40-60,Cell1_60-80,Cell1_80-100,Cell1_100-120,Cell1_120-140,Cell1_140-160,Cell1_160-180,Cell2_0-20,Cell2_20-40,Cell2_40-60,Cell2_60-80,Cell2_80-100,Cell2_100-120,Cell2_120-140,Cell2_140-160,Cell2_160-180,Cell3_0-20,Cell3_20-40,Cell3_40-60,Cell3_60-80,Cell3_80-100,Cell3_100-120,Cell3_120-140,Cell3_140-160,Cell3_160-180,Cell4_0-20,Cell4_20-40,Cell4_40-60,Cell4_60-80,Cell4_80-100,Cell4_100-120,Cell4_120-140,Cell4_140-160,Cell4_160-180
84,0.088948,0.011247,0.007806,0.000659,0.000000,0.004689,0.008804,0.032027,0.055135,0.879093,0.023561,0.007726,0.000000,0.000000,0.000000,0.000000,0.007727,0.024715,0.041602,0.044029,0.011622,0.007363,0.005073,0.010786,0.020196,0.019099,0.025026,0.145266,0.025776,0.005488,0.012850,0.019401,0.000000,0.059292,0.251110,0.345449
85,0.473311,0.071619,0.014682,0.046134,0.110143,0.047646,0.037995,0.103969,0.293416,0.002698,0.027426,0.000000,0.176895,0.164149,0.020780,0.049398,0.019697,0.040268,0.362085,0.145719,0.013354,0.040198,0.220926,0.084808,0.026215,0.014087,0.537323,0.092611,0.041771,0.012670,0.081726,0.248626,0.107538,0.015536,0.029629,0.021969
86,0.003906,0.039705,0.000000,0.256096,0.237644,0.030085,0.071515,0.028517,0.058297,0.087744,0.053850,0.063820,0.171579,0.089026,0.040623,0.042267,0.143362,0.591183,0.134075,0.060473,0.018342,0.118318,0.359944,0.155686,0.022491,0.042895,0.031806,0.417791,0.048072,0.107173,0.131104,0.147860,0.066410,0.006501,0.036293,0.119592
87,0.048436,0.029726,0.035229,0.094713,0.049143,0.022424,0.023332,0.079137,0.326338,0.357469,0.011437,0.001528,0.001868,0.000000,0.000617,0.001802,0.029251,0.558146,0.230624,0.026536,0.059161,0.072370,0.081620,0.036659,0.003589,0.020034,0.066016,0.436388,0.016442,0.019373,0.049333,0.031127,0.006980,0.013555,0.095566,0.388297
88,0.304794,0.009752,0.001303,0.001593,0.000000,0.000526,0.001536,0.024941,0.475900,0.173914,0.028263,0.003545,0.000526,0.001012,0.000000,0.009202,0.021929,0.483630,0.372083,0.014020,0.016518,0.042063,0.026540,0.005952,0.011558,0.081484,0.331079,0.075362,0.019079,0.020892,0.026065,0.076369,0.015006,0.009183,0.091019,0.367393
89,0.188322,0.030605,0.003839,0.000570,0.001096,0.000000,0.009964,0.023746,0.523697,0.134594,0.044011,0.038996,0.002912,0.010334,0.017490,0.044112,0.169083,0.516043,0.081606,0.020659,0.022623,0.028225,0.082696,0.016249,0.009944,0.098559,0.397830,0.129070,0.253267,0.147838,0.139419,0.072764,0.067262,0.186272,0.111969,0.084269
90,0.183822,0.060108,0.053259,0.003977,0.014114,0.023886,0.060246,0.230926,0.704788,0.079212,0.083833,0.022129,0.014020,0.009658,0.020536,0.038454,0.036366,0.047651,0.176278,0.345901,0.201910,0.190412,0.099378,0.091863,0.254402,0.152922,0.115091,0.009938,0.028802,0.021176,0.026896,0.033941,0.182583,0.035126,0.000550,0.021955
91,0.068894,0.072913,0.019246,0.012194,0.008400,0.017861,0.033445,0.031629,0.041444,0.240565,0.042685,0.009088,0.021279,0.032129,0.000000,0.098189,0.415845,0.572075,0.008643,0.025050,0.018418,0.023392,0.029520,0.158800,0.030550,0.000479,0.019095,0.572437,0.097328,0.075442,0.051723,0.014604,0.024449,0.047444,0.048961,0.184753
92,0.405089,0.163026,0.014940,0.044972,0.247165,0.094881,0.029328,0.015760,0.601140,0.103610,0.046732,0.014175,0.091433,0.278155,0.120311,0.017381,0.033148,0.024579,0.252101,0.010428,0.001546,0.029988,0.039742,0.095230,0.021895,0.022461,0.410500,0.021477,0.005053,0.000773,0.002444,0.088183,0.064181,0.019632,0.013535,0.038908
93,0.192485,0.086818,0.026333,0.169863,0.516752,0.223511,0.032290,0.061582,0.045662,0.599801,0.069014,0.153863,0.188219,0.212274,0.095342,0.009333,0.052104,0.171691,0.039900,0.009387,0.001436,0.004541,0.163825,0.119235,0.036471,0.025145,0.072282,0.110052,0.071441,0.044648,0.033813,0.064855,0.029895,0.013011,0.000000,0.127803
94,0.318785,0.036680,0.081776,0.100035,0.112821,0.050673,0.004961,0.027693,0.091251,0.603206,0.022728,0.026778,0.068191,0.043026,0.009649,0.018737,0.132098,0.536732,0.058491,0.037970,0.023730,0.017971,0.034470,0.015889,0.006915,0.000000,0.067925,0.166139,0.130147,0.087259,0.185375,0.025758,0.074451,0.000000,0.112152,0.247387
95,0.527869,0.019889,0.023434,0.059675,0.037652,0.008444,0.016397,0.115600,0.469697,0.106915,0.027066,0.029639,0.036978,0.108344,0.021289,0.013027,0.129127,0.521215,0.145390,0.113892,0.076361,0.162223,0.022541,0.065153,0.000000,0.098145,0.216490,0.105361,0.039285,0.023371,0.038420,0.009317,0.011340,0.012585,0.058773,0.141410
96,0.111518,0.028232,0.030915,0.038570,0.113008,0.022205,0.013588,0.134686,0.543654,0.176380,0.346102,0.202028,0.190523,0.099435,0.091917,0.254549,0.153011,0.115158,0.109897,0.040977,0.024377,0.040074,0.009718,0.011828,0.013127,0.061303,0.147498,0.496196,0.084969,0.019238,0.012675,0.000000,0.004009,0.007173,0.008656,0.115666
97,0.216781,0.425380,0.248304,0.234164,0.122212,0.112971,0.312856,0.188060,0.141536,0.012221,0.035420,0.026042,0.033076,0.041740,0.224536,0.043197,0.000677,0.027000,0.609854,0.104431,0.023644,0.015579,0.000000,0.004928,0.008817,0.010638,0.142160,0.026488,0.014373,0.033844,0.039211,0.085129,0.037518,0.003654,0.009353,0.016243
98,0.008460,0.024520,0.018028,0.022897,0.028895,0.155436,0.029903,0.000469,0.018691,0.560311,0.095266,0.073844,0.050627,0.014295,0.023931,0.046439,0.047923,0.180839,0.018336,0.009950,0.023429,0.027144,0.058931,0.025972,0.002529,0.006475,0.011244,0.120679,0.028948,0.015900,0.025492,0.011581,0.050163,0.041321,0.110897,0.751175
99,0.220027,0.009101,0.001349,0.026173,0.034685,0.083114,0.019109,0.019603,0.358274,0.018745,0.004410,0.000675,0.002133,0.076964,0.056016,0.017134,0.011813,0.033958,0.007471,0.000000,0.001527,0.002583,0.451814,0.014339,0.086486,0.020711,0.453266,0.044375,0.030576,0.014093,0.004769,0.615977,0.010802,0.014911,0.028890,0.032902
100,0.020710,0.004872,0.000745,0.002357,0.085031,0.061887,0.018930,0.013051,0.037517,0.057121,0.037080,0.023174,0.017550,0.033662,0.015516,0.006753,0.000000,0.066334,0.049026,0.033781,0.015570,0.005269,0.680541,0.011934,0.016474,0.031918,0.036351,0.018399,0.029644,0.008211,0.005025,0.707411,0.011743,0.050038,0.030694,0.014609
101,0.055105,0.035772,0.022356,0.016931,0.032474,0.014969,0.006515,0.000000,0.063993,0.156522,0.122613,0.082208,0.174644,0.024267,0.070142,0.000000,0.105660,0.233067,0.017750,0.028598,0.007922,0.004848,0.682449,0.011329,0.048273,0.029611,0.014094,0.142250,0.003666,0.003061,0.000000,0.583320,0.000000,0.008635,0.037941,0.095768
102,0.164409,0.128792,0.086351,0.183445,0.025490,0.073676,0.000000,0.110984,0.244811,0.119144,0.044425,0.026428,0.043446,0.010536,0.012824,0.014232,0.066461,0.159910,0.149418,0.003851,0.003215,0.000000,0.612713,0.000000,0.009070,0.039853,0.100594,0.039594,0.078866,0.025032,0.012525,0.604186,0.028625,0.022344,0.054499,0.016354
103,0.095749,0.035701,0.021239,0.034915,0.008467,0.010306,0.011437,0.053411,0.128509,0.432316,0.074030,0.016761,0.011043,0.000000,0.003493,0.006250,0.007541,0.100775,0.031819,0.063380,0.020117,0.010066,0.485546,0.023004,0.017956,0.043797,0.013143,0.171314,0.012223,0.009293,0.010306,0.639887,0.010015,0.000000,0.014298,0.285455
104,0.376093,0.064402,0.014581,0.009607,0.000000,0.003039,0.005437,0.006561,0.087669,0.016335,0.008864,0.020871,0.024181,0.052498,0.023137,0.002253,0.005768,0.010017,0.149034,0.010633,0.008085,0.008966,0.556669,0.008713,0.000000,0.012438,0.248331,0.005802,0.010689,0.003705,0.006847,0.667666,0.024050,0.011771,0.018504,0.015593
105,0.013295,0.007214,0.016987,0.019681,0.042728,0.018831,0.001834,0.004694,0.008153,0.087498,0.020989,0.011528,0.018483,0.008397,0.036370,0.029959,0.080406,0.544638,0.004722,0.008699,0.003016,0.005572,0.543403,0.019574,0.009580,0.015060,0.012691,0.299920,0.016899,0.068342,0.011828,0.489906,0.005850,0.030207,0.044441,0.220455
